name,lat,lng
Abasan Al Kabur,31.324878,34.351165
Abasan as Saghira,31.339991,34.346659
Abil Al Qamh,33.259893,35.58018
Abu Ajlan,31.570833,34.723715
Abu Al Fadl,31.94476,34.848101
Abu Amrah,31.305789,34.552907
Abu Bakrah,31.361023,34.462751
Abu Dis,31.761596,35.265605
Abu Ghalion,31.266317,34.599441
Abu Ghosh,31.806356,35.108812
Abu Jaber,31.5432,34.7664
Abu Kishk,32.13546,34.865227
Abu Middain,31.354974,34.53067
Abu Qashsh,31.94956,35.184046
Abu Rawwaa,31.557165,34.719424
Abu Rqayiq,31.293474,34.706565
Abu Shukheidim,31.96398,35.170105
"Abu Shusha, Ramle",31.857014,34.91562
"Abu Shusha, Haifa",32.614397,35.137713
Abu Sinan,32.957494,35.171686
Abu Sitteh,31.32852,34.390695
Abu Sousain,31.266775,34.517161
Abu Suailiq,31.284352,34.576581
Abu Suhaiban,31.262583,34.626384
Abu Yehya,31.224034,34.714224
Abu Zurayq,32.63504,35.125851
Abud,32.015894,35.067641
Acre,32.921781,35.068248
Ad Dab'a,32.158311,35.009642
Afiqim,32.68117,35.57805
Afula,32.609587,35.289303
Ajanjul,31.871784,35.023541
Ajja,32.361162,35.1942
Ajjul,32.023869,35.180242
Ajjur,31.688995,34.921707
Akbara,32.938914,35.498979
Akkaba,32.447081,35.080663
Al 'Aqaba,32.339648,35.417361
Al 'Attara,32.327153,35.161112
Al 'Auja,31.960909,35.466485
Al 'Eizariya (Bethany),31.771162,35.25975
Al 'Imara,31.314229,34.520389
Al 'Ubaydiyya,32.689701,35.561671
Al 'Ulmaniyya,33.073124,35.586916
Al Abisiyya,33.200398,35.634092
Al Aryan,32.496527,35.122473
Al Ashrafiyya,32.469968,35.471325
Al Baqa,31.535683,35.130318
Al Barid (Al Hashimiya),32.465856,35.221072
Al Bassa,33.078079,35.142962
Al Batani Al Gharbi,31.758057,34.699375
Al Batani Al Sharqi,31.752181,34.723135
"Al Bira, Ramallah",31.905094,35.214968
"Al Bira, Beisan",32.607538,35.503076
Al Birwa,32.905473,35.178674
Al Buraiqi,31.319941,34.640109
Al Burayj,31.739721,34.931094
Al Bureij ,31.43223,34.404734
Al Burj,31.902044,35.019679
Al Butayha,32.916491,35.623967
Al Butaymat,32.553164,35.093759
Al Buwayziyya,33.158274,35.569148
Al Dahi,32.62057,35.345167
Al Dalhamiyya,32.663041,35.599687
Al Damun,32.876842,35.18229
Al Dawayima,31.536759,34.912503
Al Dawwara,33.178265,35.6324
Al Dhahiriyya Al Fauq'a,32.950401,35.512547
Al Dhahiriyya Al Tahta,32.963334,35.488057
Al Dhawahreh (Hanajreh),31.352021,34.496867
Al Diqs (Quz Al Jabba),31.5345,34.708935
Al Dirbashiyya,33.088599,35.647293
Al Duhriyya,31.946029,34.935451
Al Dumayri,32.460897,34.919594
Al Faluja,31.624688,34.748692
Al Farradiyya,32.931646,35.427222
Al Fatur,32.39676,35.525703
Al Fukara,31.49936,34.775321
Al Funduq,32.190575,35.137441
Al Ghabisiyya,33.000162,35.149629
Al Ghazzawiyya,32.502259,35.541713
Al Ghubayya Al Fawqa,32.6014,35.1509
Al Ghubayya Al Tahta,32.60796,35.144831
Al Haddadiya,31.70791,35.293887
Al Haditha,31.962929,34.95146
Al Haffasi,32.291125,35.075784
Al Hamidiyya,32.544431,35.516501
"Al Hamra, Beisan",32.427813,35.500416
"Al Hamra, Safad",33.153944,35.647212
Al Haram,32.188045,34.806491
Al Husayniyya,33.0394,35.582
Al Isawiyya,31.798611,35.248333
Al Ja'una,32.971605,35.532379
Al Jaba',31.675448,35.075944
Al Jadeida,32.927374,35.156631
Al Jaladiyya,31.692331,34.749889
"Al Jalama, Haifa",32.722979,35.090569
"Al Jalama, Tulkarm",32.392576,35.010244
Al Jammama,31.498705,34.686311
Al Jammasin Al Gharbi,32.091464,34.796871
Al Jammasin Al Sharqi,32.097793,34.830804
Al Janiya,31.938665,35.120206
Al Jarushiya,32.347346,35.050264
Al Jib,31.849521,35.185117
Al Jiyya,31.628621,34.597091
"Al Jura, Gaza",31.665856,34.554512
"Al Jura, Jerusalem",31.757014,35.150341
Al Kabri,33.0158,35.150801
Al Kafrayn,32.573671,35.118489
Al Khalayil,31.836707,34.950769
Al Khalisa,33.214046,35.567408
Al Khas,31.716389,35.250728
Al Khayma,31.762484,34.829838
Al Khayriyya,32.036563,34.827151
Al Khisas,33.224615,35.620327
Al Khuljan,32.454949,35.144943
